 ,Area,Mean,Min,Max,X,Y
1,0.000,255,255,255,-3.216,6.922
2,0.000,0,0,0,-3.201,6.828
3,0.000,0,0,0,-3.186,6.714
4,0.000,0,0,0,-3.172,6.623
5,0.000,0,0,0,-3.151,6.577
6,0.000,255,255,255,-3.121,6.532
7,0.000,255,255,255,-3.102,6.516
8,0.000,255,255,255,-3.072,6.516
9,0.000,255,255,255,-3.043,6.532
10,0.000,0,0,0,-3.019,6.539
11,0.000,0,0,0,-2.992,6.478
12,0.000,0,0,0,-2.960,6.410
13,0.000,255,255,255,-2.930,6.349
14,0.000,255,255,255,-2.904,6.258
15,0.000,255,255,255,-2.879,6.190
16,0.000,0,0,0,-2.852,6.114
17,0.000,0,0,0,-2.828,6.046
18,0.000,0,0,0,-2.801,5.955
19,0.000,0,0,0,-2.777,5.871
20,0.000,255,255,255,-2.755,5.788
21,0.000,255,255,255,-2.734,5.727
22,0.000,255,255,255,-2.713,5.682
23,0.000,255,255,255,-2.692,5.636
24,0.000,0,0,0,-2.672,5.560
25,0.000,0,0,0,-2.655,5.484
26,0.000,0,0,0,-2.630,5.431
27,0.000,0,0,0,-2.602,5.393
28,0.000,255,255,255,-2.572,5.355
29,0.000,255,255,255,-2.542,5.310
30,0.000,255,255,255,-2.510,5.264
31,0.000,0,0,0,-2.480,5.196
32,0.000,0,0,0,-2.446,5.097
33,0.000,0,0,0,-2.418,5.044
34,0.000,255,255,255,-2.390,5.006
35,0.000,255,255,255,-2.365,4.976
36,0.000,255,255,255,-2.335,4.946
37,0.000,0,0,0,-2.294,4.908
38,0.000,0,0,0,-2.264,4.885
39,0.000,0,0,0,-2.241,4.900
40,0.000,0,0,0,-2.209,4.862
41,0.000,255,255,255,-2.185,4.839
42,0.000,255,255,255,-2.160,4.847
43,0.000,255,255,255,-2.126,4.870
44,0.000,255,255,255,-2.112,4.908
45,0.000,0,0,0,-2.093,4.930
46,0.000,0,0,0,-2.064,4.885
47,0.000,0,0,0,-2.040,4.885
48,0.000,0,0,0,-2.024,4.908
49,0.000,0,0,0,-2.004,4.877
50,0.000,255,255,255,-1.981,4.855
51,0.000,255,255,255,-1.958,4.832
52,0.000,255,255,255,-1.932,4.794
53,0.000,255,255,255,-1.913,4.794
54,0.000,0,0,0,-1.890,4.771
55,0.000,0,0,0,-1.868,4.771
56,0.000,0,0,0,-1.847,4.809
57,0.000,0,0,0,-1.817,4.786
58,0.000,255,255,255,-1.787,4.741
59,0.000,255,255,255,-1.764,4.710
60,0.000,255,255,255,-1.738,4.695
61,0.000,255,255,255,-1.713,4.680
62,0.000,0,0,0,-1.683,4.657
63,0.000,0,0,0,-1.658,4.619
64,0.000,0,0,0,-1.625,4.597
65,0.000,0,0,0,-1.600,4.559
66,0.000,255,255,255,-1.579,4.505
67,0.000,255,255,255,-1.557,4.468
68,0.000,255,255,255,-1.529,4.414
69,0.000,255,255,255,-1.496,4.361
70,0.000,0,0,0,-1.450,4.301
71,0.000,0,0,0,-1.425,4.247
72,0.000,0,0,0,-1.402,4.194
73,0.000,0,0,0,-1.368,4.126
74,0.000,255,255,255,-1.344,4.050
75,0.000,0,0,0,-1.317,3.967
76,0.000,0,0,0,-1.298,3.891
77,0.000,0,0,0,-1.273,3.830
78,0.000,0,0,0,-1.245,3.739
79,0.000,0,0,0,-1.225,3.678
80,0.000,255,255,255,-1.213,3.625
81,0.000,255,255,255,-1.190,3.557
82,0.000,255,255,255,-1.165,3.489
83,0.000,255,255,255,-1.148,3.420
84,0.000,0,0,0,-1.121,3.375
85,0.000,0,0,0,-1.098,3.306
86,0.000,0,0,0,-1.072,3.223
87,0.000,0,0,0,-1.043,3.147
88,0.000,0,0,0,-1.027,3.086
89,0.000,0,0,0,-1.004,3.026
90,0.000,0,0,0,-0.976,2.935
91,0.000,0,0,0,-0.944,2.859
92,0.000,0,0,0,-0.923,2.813
93,0.000,0,0,0,-0.900,2.722
94,0.000,0,0,0,-0.879,2.624
95,0.000,0,0,0,-0.847,2.502
96,0.000,0,0,0,-0.822,2.426
97,0.000,0,0,0,-0.807,2.328
98,0.000,0,0,0,-0.785,2.206
99,0.000,0,0,0,-0.754,2.145
100,0.000,0,0,0,-0.725,2.062
101,0.000,0,0,0,-0.683,1.971
102,0.000,0,0,0,-0.640,1.872
103,0.000,0,0,0,-0.610,1.804
104,0.000,0,0,0,-0.586,1.751
105,0.000,0,0,0,-0.549,1.675
106,0.000,0,0,0,-0.519,1.629
107,0.000,0,0,0,-0.485,1.576
108,0.000,0,0,0,-0.455,1.523
109,0.000,0,0,0,-0.411,1.425
110,0.000,0,0,0,-0.384,1.371
111,0.000,66,66,66,-0.354,1.318
112,0.000,85,85,85,-0.331,1.258
113,0.000,85,85,85,-0.310,1.220
114,0.000,0,0,0,-0.275,1.167
115,0.000,255,255,255,-0.255,1.121
116,0.000,0,0,0,-0.227,1.053
117,0.000,0,0,0,-0.193,0.962
118,0.000,82,82,82,-0.163,0.863
119,0.000,54,54,54,-0.137,0.780
120,0.000,0,0,0,-0.109,0.711
121,0.000,0,0,0,-0.072,0.597
122,0.000,0,0,0,-0.040,0.514
123,0.000,0,0,0,-0.003,0.430
124,0.000,0,0,0,0.040,0.362
125,0.000,117,117,117,0.070,0.286
126,0.000,246,246,246,0.095,0.218
127,0.000,0,0,0,0.125,0.142
128,0.000,0,0,0,0.156,0.059
129,0.000,0,0,0,0.195,-0.025
130,0.000,0,0,0,0.231,-0.116
131,0.000,0,0,0,0.268,-0.192
