 ,Area,Mean,Min,Max,X,Y
1,0.000,255,255,255,-3.207,6.667
2,0.000,85,85,85,-3.192,6.473
3,0.000,85,85,85,-3.167,6.307
4,0.000,255,255,255,-3.137,6.239
5,0.000,255,255,255,-3.073,6.186
6,0.000,85,85,85,-3.033,6.170
7,0.000,85,85,85,-2.996,6.178
8,0.000,85,85,85,-2.967,6.170
9,0.000,255,255,255,-2.941,6.140
10,0.000,255,255,255,-2.911,6.049
11,0.000,255,255,255,-2.897,5.989
12,0.000,85,85,85,-2.881,5.920
13,0.000,85,85,85,-2.865,5.807
14,0.000,85,85,85,-2.840,5.701
15,0.000,255,255,255,-2.801,5.595
16,0.000,255,255,255,-2.776,5.481
17,0.000,255,255,255,-2.755,5.375
18,0.000,255,255,255,-2.745,5.269
19,0.000,85,85,85,-2.732,5.170
20,0.000,85,85,85,-2.716,5.148
21,0.000,85,85,85,-2.686,5.140
22,0.000,85,85,85,-2.677,5.027
23,0.000,255,255,255,-2.672,4.958
24,0.000,255,255,255,-2.660,4.867
25,0.000,255,255,255,-2.653,4.769
26,0.000,255,255,255,-2.640,4.625
27,0.000,255,255,255,-2.628,4.511
28,0.000,85,85,85,-2.607,4.595
29,0.000,85,85,85,-2.587,4.754
30,0.000,85,85,85,-2.566,4.792
31,0.000,255,255,255,-2.545,4.784
32,0.000,255,255,255,-2.522,4.769
33,0.000,255,255,255,-2.509,4.716
34,0.000,255,255,255,-2.499,4.625
35,0.000,255,255,255,-2.497,4.496
36,0.000,85,85,85,-2.488,4.337
37,0.000,85,85,85,-2.476,4.239
38,0.000,85,85,85,-2.469,4.072
39,0.000,255,255,255,-2.446,4.133
40,0.000,255,255,255,-2.426,4.254
41,0.000,85,85,85,-2.407,4.367
42,0.000,85,85,85,-2.395,4.428
43,0.000,85,85,85,-2.384,4.314
44,0.000,85,85,85,-2.368,4.208
45,0.000,85,85,85,-2.363,4.080
46,0.000,255,255,255,-2.343,4.095
47,0.000,255,255,255,-2.322,4.163
48,0.000,255,255,255,-2.296,4.216
49,0.000,85,85,85,-2.271,4.261
50,0.000,85,85,85,-2.250,4.284
51,0.000,85,85,85,-2.230,4.216
52,0.000,152,152,152,-2.209,4.140
53,0.000,255,255,255,-2.184,4.208
54,0.000,255,255,255,-2.163,4.284
55,0.000,255,255,255,-2.138,4.390
56,0.000,85,85,85,-2.122,4.451
57,0.000,85,85,85,-2.101,4.473
58,0.000,85,85,85,-2.076,4.428
