 ,Area,Mean,Min,Max,X,Y
1,0.000,255,255,255,-3.256,5.098
2,0.000,255,255,255,-3.207,5.158
3,0.000,127,127,127,-3.155,5.188
4,0.000,127,127,127,-3.126,5.239
5,0.000,127,127,127,-3.100,5.249
6,0.000,255,255,255,-3.065,5.299
7,0.000,255,255,255,-3.060,5.178
8,0.000,255,255,255,-3.051,5.037
9,0.000,127,127,127,-3.044,4.855
10,0.000,127,127,127,-3.032,4.673
11,0.000,127,127,127,-3.025,4.542
12,0.000,127,127,127,-3.004,4.673
13,0.000,127,127,127,-2.999,4.885
14,0.000,127,127,127,-2.992,5.057
15,0.000,255,255,255,-2.978,5.198
16,0.000,255,255,255,-2.961,5.107
17,0.000,127,127,127,-2.950,4.996
18,0.000,127,127,127,-2.926,5.087
19,0.000,127,127,127,-2.907,5.158
20,0.000,127,127,127,-2.888,5.249
21,0.000,255,255,255,-2.867,5.319
22,0.000,255,255,255,-2.846,5.198
23,0.000,255,255,255,-2.836,5.067
24,0.000,127,127,127,-2.818,4.936
25,0.000,127,127,127,-2.780,4.905
26,0.000,127,127,127,-2.745,4.936
27,0.000,255,255,255,-2.721,5.067
28,0.000,85,85,85,-2.690,5.077
29,0.000,85,85,85,-2.653,5.097
30,0.000,127,127,127,-2.615,5.077
31,0.000,127,127,127,-2.584,5.016
32,0.000,127,127,127,-2.554,5.016
33,0.000,255,255,255,-2.518,5.016
34,0.000,255,255,255,-2.490,4.986
35,0.000,255,255,255,-2.455,4.915
36,0.000,127,127,127,-2.417,4.835
37,0.000,127,127,127,-2.363,4.814
38,0.000,255,255,255,-2.313,4.764
39,0.000,255,255,255,-2.271,4.703
40,0.000,127,127,127,-2.214,4.612
41,0.000,127,127,127,-2.176,4.582
42,0.000,127,127,127,-2.129,4.527
43,0.000,216,216,216,-2.086,4.506
44,0.000,255,255,255,-2.037,4.466
45,0.000,127,127,127,-1.987,4.426
46,0.000,127,127,127,-1.940,4.405
47,0.000,255,255,255,-1.893,4.385
48,0.000,255,255,255,-1.848,4.375
49,0.000,127,127,127,-1.806,4.375
50,0.000,127,127,127,-1.756,4.304
51,0.000,127,127,127,-1.704,4.244
52,0.000,255,255,255,-1.660,4.203
53,0.000,255,255,255,-1.613,4.143
54,0.000,127,127,127,-1.568,4.062
55,0.000,127,127,127,-1.523,3.971
56,0.000,85,85,85,-1.488,3.941
57,0.000,255,255,255,-1.445,3.890
58,0.000,255,255,255,-1.426,3.819
59,0.000,127,127,127,-1.391,3.688
60,0.000,127,127,127,-1.346,3.597
61,0.000,255,255,255,-1.313,3.496
62,0.000,255,255,255,-1.278,3.375
63,0.000,255,255,255,-1.240,3.294
64,0.000,127,127,127,-1.209,3.213
65,0.000,127,127,127,-1.174,3.072
66,0.000,255,255,255,-1.132,2.905
67,0.000,255,255,255,-1.100,2.807
68,0.000,255,255,255,-1.069,2.708
69,0.000,127,127,127,-1.039,2.572
70,0.000,127,127,127,-1.000,2.428
71,0.000,255,255,255,-0.966,2.292
72,0.000,255,255,255,-0.938,2.170
73,0.000,127,127,127,-0.899,2.049
74,0.000,127,127,127,-0.864,1.936
75,0.000,127,127,127,-0.819,1.807
76,0.000,255,255,255,-0.782,1.746
77,0.000,255,255,255,-0.740,1.617
78,0.000,127,127,127,-0.712,1.443
79,0.000,127,127,127,-0.689,1.345
80,0.000,255,255,255,-0.651,1.193
81,0.000,255,255,255,-0.623,1.064
82,0.000,255,255,255,-0.600,0.981
83,0.000,127,127,127,-0.575,0.822
84,0.000,127,127,127,-0.549,0.686
85,0.000,127,127,127,-0.528,0.542
86,0.000,255,255,255,-0.508,0.420
87,0.000,255,255,255,-0.487,0.216
88,0.000,127,127,127,-0.471,0.102
89,0.000,127,127,127,-0.459,-0.034
90,0.000,127,127,127,-0.446,-0.178
91,0.000,127,127,127,-0.430,-0.299
92,0.000,255,255,255,-0.402,-0.466
93,0.000,255,255,255,-0.383,-0.587
94,0.000,127,127,127,-0.363,-0.723
95,0.000,127,127,127,-0.328,-0.837
96,0.000,0,0,0,-0.301,-0.936
