 ,Area,Mean,Min,Max,X,Y
1,0.000,255,255,255,-3.230,6.106
2,0.000,255,255,255,-3.215,6.006
3,0.000,255,255,255,-3.206,5.875
4,0.000,43,43,43,-3.197,5.754
5,0.000,43,43,43,-3.182,5.572
6,0.000,43,43,43,-3.178,5.461
7,0.000,255,255,255,-3.171,5.390
8,0.000,255,255,255,-3.161,5.330
9,0.000,255,255,255,-3.135,5.178
10,0.000,255,255,255,-3.123,5.047
11,0.000,43,43,43,-3.119,4.936
12,0.000,43,43,43,-3.105,4.774
13,0.000,43,43,43,-3.090,4.643
14,0.000,255,255,255,-3.072,4.734
15,0.000,255,255,255,-3.053,4.835
16,0.000,43,43,43,-3.032,4.936
17,0.000,43,43,43,-3.015,5.077
18,0.000,43,43,43,-3.003,5.218
19,0.000,255,255,255,-2.994,5.380
20,0.000,255,255,255,-2.966,5.400
21,0.000,255,255,255,-2.944,5.380
22,0.000,255,255,255,-2.940,5.319
23,0.000,43,43,43,-2.923,5.188
24,0.000,43,43,43,-2.890,5.097
25,0.000,43,43,43,-2.871,5.077
26,0.000,43,43,43,-2.862,4.966
27,0.000,255,255,255,-2.857,4.875
28,0.000,255,255,255,-2.850,4.764
29,0.000,255,255,255,-2.845,4.683
30,0.000,255,255,255,-2.834,4.592
31,0.000,43,43,43,-2.824,4.491
32,0.000,43,43,43,-2.810,4.360
33,0.000,43,43,43,-2.798,4.229
34,0.000,255,255,255,-2.791,4.057
35,0.000,255,255,255,-2.763,3.946
36,0.000,255,255,255,-2.727,3.905
37,0.000,255,255,255,-2.711,3.976
38,0.000,255,255,255,-2.680,4.047
39,0.000,255,255,255,-2.652,4.077
40,0.000,255,255,255,-2.626,4.097
41,0.000,255,255,255,-2.579,4.128
42,0.000,255,255,255,-2.555,4.128
43,0.000,43,43,43,-2.537,3.986
44,0.000,43,43,43,-2.529,3.855
45,0.000,43,43,43,-2.527,3.663
46,0.000,255,255,255,-2.518,3.542
47,0.000,255,255,255,-2.494,3.481
48,0.000,43,43,43,-2.475,3.663
49,0.000,255,255,255,-2.463,3.784
50,0.000,255,255,255,-2.433,3.845
51,0.000,255,255,255,-2.428,3.713
52,0.000,255,255,255,-2.423,3.612
53,0.000,255,255,255,-2.419,3.501
54,0.000,255,255,255,-2.414,3.420
55,0.000,255,255,255,-2.409,3.279
56,0.000,255,255,255,-2.397,3.087
57,0.000,255,255,255,-2.388,2.895
58,0.000,255,255,255,-2.376,2.713
59,0.000,43,43,43,-2.348,2.703
60,0.000,43,43,43,-2.334,2.824
61,0.000,43,43,43,-2.317,3.006
62,0.000,255,255,255,-2.308,3.249
63,0.000,255,255,255,-2.296,3.410
64,0.000,192,192,192,-2.287,3.521
65,0.000,43,43,43,-2.273,3.612
66,0.000,43,43,43,-2.237,3.511
67,0.000,255,255,255,-2.218,3.431
68,0.000,255,255,255,-2.197,3.562
69,0.000,255,255,255,-2.171,3.673
70,0.000,43,43,43,-2.143,3.794
71,0.000,43,43,43,-2.117,3.764
72,0.000,43,43,43,-2.089,3.804
73,0.000,255,255,255,-2.070,3.875
74,0.000,255,255,255,-2.042,3.865
75,0.000,255,255,255,-2.023,3.754
76,0.000,255,255,255,-2.004,3.703
77,0.000,43,43,43,-1.971,3.643
78,0.000,43,43,43,-1.935,3.592
79,0.000,43,43,43,-1.907,3.602
80,0.000,255,255,255,-1.877,3.572
81,0.000,255,255,255,-1.846,3.572
82,0.000,255,255,255,-1.818,3.534
83,0.000,255,255,255,-1.792,3.519
84,0.000,43,43,43,-1.763,3.519
85,0.000,43,43,43,-1.730,3.481
86,0.000,43,43,43,-1.693,3.436
87,0.000,255,255,255,-1.670,3.383
88,0.000,255,255,255,-1.640,3.322
89,0.000,255,255,255,-1.610,3.246
90,0.000,43,43,43,-1.578,3.201
91,0.000,43,43,43,-1.551,3.080
92,0.000,43,43,43,-1.516,3.049
93,0.000,255,255,255,-1.493,3.034
94,0.000,255,255,255,-1.472,2.966
95,0.000,255,255,255,-1.449,2.890
96,0.000,255,255,255,-1.429,2.830
97,0.000,43,43,43,-1.406,2.716
98,0.000,43,43,43,-1.387,2.625
99,0.000,43,43,43,-1.378,2.519
100,0.000,43,43,43,-1.366,2.428
101,0.000,255,255,255,-1.359,2.367
102,0.000,255,255,255,-1.348,2.299
103,0.000,255,255,255,-1.334,2.170
104,0.000,255,255,255,-1.314,2.064
105,0.000,43,43,43,-1.300,1.905
106,0.000,43,43,43,-1.297,1.799
107,0.000,43,43,43,-1.288,1.663
108,0.000,255,255,255,-1.270,1.481
109,0.000,255,255,255,-1.258,1.383
110,0.000,255,255,255,-1.235,1.314
111,0.000,43,43,43,-1.217,1.186
112,0.000,43,43,43,-1.185,1.125
113,0.000,43,43,43,-1.150,1.027
114,0.000,255,255,255,-1.122,0.973
115,0.000,255,255,255,-1.095,0.966
116,0.000,255,255,255,-1.065,0.958
117,0.000,247,247,247,-1.037,0.981
118,0.000,43,43,43,-1.009,0.996
119,0.000,43,43,43,-0.989,0.966
120,0.000,43,43,43,-0.957,0.989
121,0.000,255,255,255,-0.929,0.966
122,0.000,255,255,255,-0.910,0.943
123,0.000,255,255,255,-0.883,0.890
124,0.000,255,255,255,-0.858,0.845
125,0.000,43,43,43,-0.839,0.761
126,0.000,43,43,43,-0.818,0.648
127,0.000,43,43,43,-0.803,0.549
128,0.000,255,255,255,-0.768,0.420
129,0.000,255,255,255,-0.750,0.322
130,0.000,255,255,255,-0.736,0.223
131,0.000,255,255,255,-0.720,0.155
132,0.000,43,43,43,-0.704,0.042
133,0.000,43,43,43,-0.669,-0.027
134,0.000,43,43,43,-0.632,-0.064
135,0.000,255,255,255,-0.602,-0.125
136,0.000,255,255,255,-0.568,-0.148
137,0.000,255,255,255,-0.535,-0.163
138,0.000,43,43,43,-0.505,-0.170
139,0.000,43,43,43,-0.464,-0.231
140,0.000,58,58,58,-0.429,-0.231
141,0.000,255,255,255,-0.402,-0.201
142,0.000,255,255,255,-0.370,-0.148
143,0.000,255,255,255,-0.339,-0.080
144,0.000,43,43,43,-0.310,-0.027
145,0.000,43,43,43,-0.284,-0.034
146,0.000,43,43,43,-0.266,-0.011
147,0.000,43,43,43,-0.245,0.004
148,0.000,255,255,255,-0.217,-0.034
149,0.000,0,0,0,-0.194,-0.095
150,0.000,255,255,255,-0.167,-0.148
151,0.000,43,43,43,-0.130,-0.231
152,0.000,43,43,43,-0.098,-0.299
153,0.000,43,43,43,-0.072,-0.314
154,0.000,255,255,255,-0.033,-0.322
155,0.000,255,255,255,-0.008,-0.337
156,0.000,255,255,255,0.022,-0.383
157,0.000,255,255,255,0.049,-0.390
158,0.000,43,43,43,0.084,-0.405
159,0.000,43,43,43,0.116,-0.413
160,0.000,43,43,43,0.155,-0.418
161,0.000,255,255,255,0.193,-0.479
162,0.000,255,255,255,0.231,-0.529
163,0.000,255,255,255,0.273,-0.559
