 ,Area,Mean,Min,Max,X,Y
1,0.000,255,255,255,-3.242,6.402
2,0.000,85,85,85,-3.192,6.284
3,0.000,85,85,85,-3.143,6.193
4,0.000,255,255,255,-3.110,6.092
5,0.000,255,255,255,-3.065,6.112
6,0.000,109,109,109,-3.027,6.193
7,0.000,85,85,85,-3.009,6.072
8,0.000,85,85,85,-2.992,5.991
9,0.000,255,255,255,-2.971,5.880
10,0.000,255,255,255,-2.945,5.789
11,0.000,255,255,255,-2.921,5.718
12,0.000,85,85,85,-2.884,5.698
13,0.000,85,85,85,-2.855,5.708
14,0.000,85,85,85,-2.827,5.638
15,0.000,255,255,255,-2.801,5.537
16,0.000,255,255,255,-2.773,5.456
17,0.000,255,255,255,-2.742,5.395
18,0.000,85,85,85,-2.700,5.274
19,0.000,85,85,85,-2.671,5.143
20,0.000,255,255,255,-2.634,5.011
21,0.000,255,255,255,-2.615,4.920
22,0.000,85,85,85,-2.577,4.779
23,0.000,85,85,85,-2.554,4.648
24,0.000,85,85,85,-2.523,4.527
25,0.000,85,85,85,-2.485,4.345
26,0.000,255,255,255,-2.457,4.234
27,0.000,255,255,255,-2.429,4.153
28,0.000,85,85,85,-2.400,3.951
29,0.000,85,85,85,-2.385,3.827
30,0.000,216,216,216,-2.366,3.706
31,0.000,255,255,255,-2.342,3.706
32,0.000,255,255,255,-2.307,3.777
33,0.000,85,85,85,-2.281,3.908
34,0.000,85,85,85,-2.245,3.989
35,0.000,85,85,85,-2.215,4.049
36,0.000,255,255,255,-2.172,4.100
37,0.000,255,255,255,-2.137,4.130
38,0.000,85,85,85,-2.083,4.150
39,0.000,85,85,85,-2.043,4.130
40,0.000,85,85,85,-2.010,4.130
41,0.000,255,255,255,-1.963,4.120
42,0.000,255,255,255,-1.937,4.140
43,0.000,255,255,255,-1.913,4.120
44,0.000,85,85,85,-1.880,4.090
45,0.000,85,85,85,-1.847,4.039
46,0.000,85,85,85,-1.807,4.039
47,0.000,255,255,255,-1.769,4.009
48,0.000,255,255,255,-1.722,3.968
49,0.000,85,85,85,-1.680,3.928
50,0.000,85,85,85,-1.647,3.867
51,0.000,85,85,85,-1.616,3.797
52,0.000,255,255,255,-1.583,3.696
53,0.000,255,255,255,-1.560,3.635
54,0.000,255,255,255,-1.538,3.564
55,0.000,255,255,255,-1.505,3.544
56,0.000,85,85,85,-1.472,3.473
57,0.000,85,85,85,-1.432,3.393
58,0.000,255,255,255,-1.404,3.282
59,0.000,255,255,255,-1.378,3.211
60,0.000,255,255,255,-1.354,3.140
61,0.000,255,255,255,-1.336,3.049
62,0.000,85,85,85,-1.305,2.938
63,0.000,85,85,85,-1.279,2.847
64,0.000,85,85,85,-1.251,2.716
65,0.000,255,255,255,-1.214,2.595
66,0.000,255,255,255,-1.176,2.534
67,0.000,85,85,85,-1.139,2.473
68,0.000,85,85,85,-1.111,2.405
69,0.000,85,85,85,-1.079,2.352
70,0.000,255,255,255,-1.046,2.284
71,0.000,255,255,255,-1.017,2.223
72,0.000,255,255,255,-0.982,2.155
73,0.000,85,85,85,-0.948,2.110
74,0.000,85,85,85,-0.918,2.064
75,0.000,127,127,127,-0.887,1.973
76,0.000,127,127,127,-0.858,1.913
77,0.000,127,127,127,-0.830,1.822
78,0.000,255,255,255,-0.802,1.769
79,0.000,255,255,255,-0.777,1.701
80,0.000,85,85,85,-0.745,1.670
81,0.000,85,85,85,-0.712,1.633
82,0.000,85,85,85,-0.683,1.633
83,0.000,255,255,255,-0.644,1.625
84,0.000,255,255,255,-0.618,1.587
85,0.000,255,255,255,-0.590,1.572
86,0.000,85,85,85,-0.560,1.564
87,0.000,85,85,85,-0.535,1.549
88,0.000,85,85,85,-0.499,1.504
89,0.000,85,85,85,-0.462,1.458
90,0.000,255,255,255,-0.430,1.405
91,0.000,255,255,255,-0.399,1.360
92,0.000,85,85,85,-0.362,1.277
93,0.000,85,85,85,-0.326,1.223
94,0.000,85,85,85,-0.296,1.155
95,0.000,85,85,85,-0.266,1.095
96,0.000,255,255,255,-0.236,1.019
97,0.000,255,255,255,-0.208,0.943
98,0.000,82,82,82,-0.172,0.860
99,0.000,85,85,85,-0.146,0.761
100,0.000,85,85,85,-0.112,0.663
101,0.000,255,255,255,-0.084,0.564
102,0.000,255,255,255,-0.054,0.504
103,0.000,100,100,100,-0.017,0.443
104,0.000,85,85,85,0.015,0.330
105,0.000,85,85,85,0.040,0.269
106,0.000,85,85,85,0.070,0.208
107,0.000,255,255,255,0.098,0.110
108,0.000,255,255,255,0.123,0.019
109,0.000,255,255,255,0.149,-0.064
110,0.000,255,255,255,0.171,-0.140
111,0.000,85,85,85,0.195,-0.246
112,0.000,85,85,85,0.224,-0.352
113,0.000,85,85,85,0.257,-0.443
114,0.000,255,255,255,0.277,-0.500
